,ann_mean,ann_vol,VaR_5%,Sharpe
TSLA,0.4437050412836818,0.5808954744599849,-0.05335186967707405,0.7638293992497724
BND,-0.008111353320056604,0.054375965871823084,-0.00509424755656715,-0.14917166417194266
SPY,0.12326468631752445,0.17973040402005763,-0.016963112006216752,0.6858310200191186
