,TSLA_adj,TSLA_ret,BND_adj,BND_ret,SPY_adj,SPY_ret
2015-07-01,17.94333267211914,,80.9000015258789,,207.5,
2015-07-02,18.667999267578125,0.0403863991545445,81.0999984741211,0.0024721501170579,207.3099975585937,-0.0009156744164158
2015-07-03,18.667999267578125,0.0,81.0999984741211,0.0,207.3099975585937,0.0
2015-07-06,18.64800071716309,-0.0010712744375219,81.37999725341797,0.0034525127566582,206.72000122070312,-0.0028459618196842
2015-07-07,17.858667373657227,-0.0423280412456967,81.45999908447266,0.000983065049825,208.0200042724609,0.006288714416027
2015-07-08,16.997333526611328,-0.0482305778490743,81.69000244140625,0.002823512883852,204.52999877929688,-0.0167772590206896
2015-07-09,17.19466781616211,0.0116097203859553,81.41999816894531,-0.0033052303145002,204.8999938964844,0.0018090017082861
2015-07-10,17.27666664123535,0.0047688519458437,81.04000091552734,-0.0046671243179038,207.47999572753903,0.0125915173641149
2015-07-13,17.477333068847656,0.0116148810288068,80.8499984741211,-0.0023445513235408,209.7700042724609,0.0110372498172262
2015-07-14,17.709999084472656,0.0133124438785063,81.0,0.0018553064775495,210.67999267578125,0.0043380291976273
2015-07-15,17.542667388916016,-0.0094484305029326,81.2300033569336,0.0028395476164642,210.6100006103516,-0.0003322198018934
2015-07-16,17.778667449951172,0.0134529177235764,81.2300033569336,0.0,212.3000030517578,0.0080243219054583
2015-07-17,18.310667037963867,0.0299234793333262,81.23999786376953,0.0001230395964901,212.47999572753903,0.0008478222948369
2015-07-20,18.817333221435547,0.0276705475786982,81.12999725341797,-0.0013540203501238,212.58999633789065,0.0005176986660555
2015-07-21,17.784666061401367,-0.0548785073783902,81.27999877929688,0.0018489033767665,211.75,-0.0039512505402914
2015-07-22,17.857999801635742,0.0041234252013049,81.30999755859375,0.0003690794752388,211.3699951171875,-0.0017945921266233
2015-07-23,17.81333351135254,-0.0025011922264167,81.5,0.0023367660449051,210.17999267578125,-0.005629949703819
2015-07-24,17.694000244140625,-0.006699098017553,81.55000305175781,0.0006135343773965,208.0,-0.0103720275561339
2015-07-27,16.867332458496094,-0.0467202313913317,81.70999908447266,0.0019619377894235,206.7899932861328,-0.0058173399705153
2015-07-28,17.654666900634766,0.0466780650749603,81.56999969482422,-0.001713369125163,209.3300018310547,0.0122830341282873
2015-07-29,17.58799934387207,-0.0037762002046211,81.5,-0.0008581548986895,210.7700042724609,0.0068791020341576
2015-07-30,17.785999298095703,0.0112576735052369,81.52999877929688,0.0003680831815566,210.82000732421875,0.0002372398858672
2015-07-31,17.74333381652832,-0.0023988239767867,81.80999755859375,0.0034343037346884,210.5,-0.0015179172426771
2015-08-03,17.332666397094727,-0.0231448849286174,81.83000183105469,0.0002445211228201,209.7899932861328,-0.0033729535100579
2015-08-04,17.75200080871582,0.0241933007890455,81.55000305175781,-0.0034217129785106,209.3800048828125,-0.0019542800726493
2015-08-05,18.0086669921875,0.0144584368960631,81.41999816894531,-0.0015941738558855,210.07000732421875,0.003295455274215
2015-08-06,16.408666610717773,-0.0888461307082771,81.47000122070312,0.0006141372252803,208.3500061035156,-0.0081877524669599
2015-08-07,16.167333602905273,-0.0147076550177981,81.63999938964844,0.0020866351589314,207.9499969482422,-0.0019198902978417
2015-08-10,16.076000213623047,-0.0056492549436731,81.47000122070312,-0.0020822901790328,210.57000732421875,0.0125992325771886
2015-08-11,15.824666976928713,-0.0156340652746042,81.77999877929688,0.0038050516011896,208.6699981689453,-0.0090231708656777
2015-08-12,15.878000259399414,0.0033702625495031,81.75,-0.0003668229364717,208.9199981689453,0.0011980639392041
2015-08-13,16.167333602905273,0.0182222785476138,81.58000183105469,-0.0020794883051414,208.66000366210932,-0.0012444692184312
2015-08-14,16.209999084472656,0.0026389930841606,81.55000305175781,-0.0003677222189697,209.4199981689453,0.0036422625011867
2015-08-17,16.999332427978516,0.0486942250516195,81.69999694824219,0.0018392874417083,210.58999633789065,0.0055868502491411
2015-08-18,17.381332397460938,0.0224714688709601,81.55000305175781,-0.001835910674261,209.97999572753903,-0.0028966267199742
2015-08-19,17.016666412353516,-0.0209803239917725,81.83999633789062,0.0035560180905052,208.32000732421875,-0.0079054597442425
2015-08-20,16.14533233642578,-0.0512047456777536,81.91000366210938,0.0008554170008721,203.97000122070312,-0.0208813649701226
2015-08-21,15.38466739654541,-0.0471136130263618,82.04000091552734,0.001587074198583,197.8300018310547,-0.0301024628764144
2015-08-24,14.591333389282228,-0.0515665361372272,82.0199966430664,-0.0002438355952912,189.5,-0.0421068682907279
2015-08-25,14.66866683959961,0.005299957738899,81.75,-0.0032918392357582,187.2700042724609,-0.0117677874804174
2015-08-26,14.989333152770996,0.0218606310087918,81.4000015258789,-0.0042813269005638,194.4600067138672,0.038393775176859
2015-08-27,16.19933319091797,0.0807240739674457,81.51000213623047,0.001351358824196,199.2700042724609,0.0247351506352215
2015-08-28,16.565332412719727,0.0225934745268991,81.55000305175781,0.000490748552067,199.27999877929688,5.015560105214867e-05
2015-08-31,16.604000091552734,0.0023342531178738,81.44000244140625,-0.0013488731604552,197.6699981689453,-0.0080790878172105
2015-09-01,15.908666610717772,-0.0418774678993595,81.47000122070312,0.0003683543516401,191.7700042724609,-0.0298476954071794
2015-09-02,16.512666702270508,0.0379667326201818,81.41000366210938,-0.0007364374333469,195.41000366210932,0.018981067469117
2015-09-03,16.3713321685791,-0.0085591586289314,81.47000122070312,0.000736980173134,195.5500030517578,0.0007164392151106
2015-09-04,16.1286678314209,-0.0148225162533773,81.66999816894531,0.002454853875605,192.58999633789065,-0.0151368277559357
