,adf_close_p,adf_ret_p,var_5pct,sharpe
TSLA,0.5385630150890264,1.6259891178074426e-28,-0.053351869677074115,0.7638293992497727
BND,0.8050230018794196,0.0,-0.005094247556567177,-0.14917166417193745
SPY,0.9868948185917167,1.870119663851176e-25,-0.016963112006216807,0.6858310200191219
