,Price,Close,High,Low,Open,Volume,Adj Close,ret,log_ret,vol_30,ma_50,ma_200
2015-07-01,174.91708374023438,207.5,208.02999877929688,206.55999755859372,207.72999572753903,135979900.0,207.5,,,,,
2015-07-02,174.75694274902344,207.30999755859372,208.2700042724609,206.80999755859372,208.07000732421875,104373700.0,207.30999755859372,-0.0009156744164158237,-0.0009160939023288249,,,
2015-07-03,,207.30999755859372,208.2700042724609,206.80999755859372,208.07000732421875,0.0,207.30999755859372,0.0,0.0,,,
2015-07-06,174.25958251953125,206.72000122070312,207.6499938964844,205.52999877929688,205.7700042724609,117975400.0,206.72000122070312,-0.0028459618196842174,-0.002850019269082999,,,
2015-07-07,175.35540771484375,208.0200042724609,208.1699981689453,204.1100006103516,206.9600067138672,173820200.0,208.0200042724609,0.006288714416027075,0.006269022964348223,,,
2015-07-08,172.41346740722656,204.52999877929688,206.75999450683597,204.25,206.4199981689453,164020100.0,204.52999877929688,-0.016777259020689606,-0.016919591441947386,,,
2015-07-09,172.7253875732422,204.8999938964844,207.3500061035156,204.7700042724609,207.0399932861328,144113100.0,204.8999938964844,0.0018090017082861287,0.0018073674353340466,,,
2015-07-10,174.9002685546875,207.47999572753903,207.97999572753903,204.9499969482422,207.2899932861328,129456900.0,207.47999572753903,0.012591517364114901,0.012512903433964875,,,
2015-07-13,176.8306884765625,209.7700042724609,209.8999938964844,208.94000244140625,208.9900054931641,106069400.0,209.7700042724609,0.011037249817226202,0.010976783887015968,,,
2015-07-14,177.59776306152344,210.67999267578125,211.0500030517578,209.6499938964844,209.72000122070312,81709600.0,210.67999267578125,0.00433802919762738,0.004328647072470105,,,
2015-07-15,177.53878784179688,210.6100006103516,211.27999877929688,210.0399932861328,210.72999572753903,97914100.0,210.6100006103516,-0.000332219801893463,-0.0003322749991172604,,,
2015-07-16,178.96340942382812,212.3000030517578,212.3000030517578,211.5800018310547,211.8699951171875,106683300.0,212.3000030517578,0.00802432190545832,0.007992298232542884,,,
2015-07-17,179.1151123046875,212.47999572753903,212.5500030517578,211.8000030517578,212.2899932861328,89030000.0,212.47999572753903,0.0008478222948369307,0.0008474630965250066,,,
2015-07-20,179.2078094482422,212.58999633789065,213.17999267578125,212.2100067138672,212.75,70446800.0,212.58999633789065,0.0005176986660555549,0.0005175647063329895,,,
2015-07-21,178.499755859375,211.75,212.7400054931641,211.38999938964844,212.42999267578125,77965000.0,211.75,-0.00395125054029144,-0.003959077354646782,,,
2015-07-22,178.17938232421875,211.3699951171875,211.7700042724609,210.88999938964844,210.92999267578125,88667900.0,211.3699951171875,-0.0017945921266233622,-0.0017962043362016416,,,
2015-07-23,177.17628479003906,210.17999267578125,211.6499938964844,209.75,211.52999877929688,90509100.0,210.17999267578125,-0.005629949703819026,-0.0056458576058752,,,
2015-07-24,175.33856201171875,208.0,210.3699951171875,207.6000061035156,210.3000030517578,117755000.0,208.0,-0.010372027556133978,-0.010426191888768848,,,
2015-07-27,174.31861877441406,206.7899932861328,207.5500030517578,206.25999450683597,206.94000244140625,132361100.0,206.7899932861328,-0.005817339970515367,-0.005834326602727022,,,
2015-07-28,176.4597625732422,209.3300018310547,209.5,206.8000030517578,207.7899932861328,123544800.0,209.3300018310547,0.012283034128287351,0.012208209755053484,,,
2015-07-29,177.67364501953125,210.7700042724609,211.0399932861328,209.30999755859372,209.47999572753903,105791300.0,210.7700042724609,0.006879102034157647,0.006855548966037117,,,
2015-07-30,177.7157745361328,210.82000732421875,211.0200042724609,209.4199981689453,210.16000366210935,91304400.0,210.82000732421875,0.00023723988586721312,0.000237211748935537,,,
2015-07-31,177.44601440429688,210.5,211.4499969482422,210.16000366210935,211.4199981689453,103266900.0,210.5,-0.001517917242677136,-0.0015190704461810003,,,
2015-08-03,176.84751892089844,209.7899932861328,210.52999877929688,208.6499938964844,210.4600067138672,113965700.0,209.7899932861328,-0.003372953510057952,-0.0033786547413504576,,,
2015-08-04,176.50192260742188,209.3800048828125,210.25,208.8000030517578,209.6999969482422,81820800.0,209.3800048828125,-0.001954280072649306,-0.0019561921695385102,,,
2015-08-05,177.08358764648438,210.07000732421875,211.30999755859372,209.72999572753903,210.4499969482422,85786800.0,210.07000732421875,0.0032954552742150423,0.0032900371616514136,,,
2015-08-06,175.63363647460938,208.3500061035156,210.4199981689453,207.6499938964844,210.2899932861328,116030800.0,208.3500061035156,-0.008187752466959908,-0.008221456210205404,,,
2015-08-07,175.2964324951172,207.9499969482422,208.33999633789065,206.8699951171875,208.16000366210935,117858000.0,207.9499969482422,-0.0019198902978417864,-0.001921735649513112,,,
2015-08-10,177.5050048828125,210.57000732421875,210.6699981689453,209.27999877929688,209.27999877929688,80270700.0,210.57000732421875,0.012599232577188646,0.012520522679780615,,,
2015-08-11,175.90338134765625,208.6699981689453,209.47000122070312,207.75999450683597,208.97000122070312,126081400.0,208.6699981689453,-0.009023170865677721,-0.009064126222849762,,,
2015-08-12,176.1141357421875,208.9199981689453,209.13999938964844,205.3600006103516,207.1100006103516,172123700.0,208.9199981689453,0.0011980639392041859,0.0011973468333049738,0.1113518176972956,,
2015-08-13,175.8949737548828,208.66000366210935,209.5500030517578,208.00999450683597,208.72999572753903,89383300.0,208.66000366210935,-0.0012444692184312434,-0.001245244213287274,0.11138582874741078,,
2015-08-14,176.5355987548828,209.4199981689453,209.50999450683597,208.25999450683597,208.42999267578125,72786500.0,209.4199981689453,0.0036422625011867105,0.003635645525430758,0.11181696823537444,,
2015-08-17,177.52191162109375,210.58999633789065,210.58999633789065,208.16000366210935,208.7100067138672,79072600.0,210.58999633789065,0.005586850249141184,0.005571301686068404,0.112384564680525,,
2015-08-18,177.00765991210938,209.97999572753903,210.67999267578125,209.6999969482422,210.25999450683597,71692700.0,209.97999572753903,-0.00289662671997426,-0.002900830062122843,0.11152443257032613,,
2015-08-19,175.6082763671875,208.32000732421875,210.00999450683597,207.3500061035156,209.08999633789065,172946000.0,208.32000732421875,-0.007905459744242505,-0.00793687356110099,0.10227489628657789,,
